Population	Region	Continent
Afghanistan 	South Central Asia	Asia
Albania 	Southern Europe	Europe
Algeria 	Northern Africa	Africa
Angola 	Middle Africa	Africa
Azerbaijan 	Western Asia	Asia
Argentina 	South America	Latin America and the Caribbean
Australia 	Australia/New Zealand	Oceania
Austria 	Western Europe	Europe
Bahamas 	Caribbean	Latin America and the Caribbean
Bahrain 	Western Asia	Asia
Bangladesh 	South Central Asia	Asia
Armenia 	Western Asia	Asia
Barbados 	Caribbean	Latin America and the Caribbean
Belgium 	Western Europe	Europe
Bhutan 	South Central Asia	Asia
Bolivia (Plurinational State of) 	South America	Latin America and the Caribbean
Bosnia Herzegovina 	Southern Europe	Europe
Botswana 	Southern Africa	Africa
Brazil 	South America	Latin America and the Caribbean
Belize 	Central America	Latin America and the Caribbean
Solomon Islands 	Melanesia	Oceania
Brunei Darussalam 	South-Eastern Asia	Asia
Bulgaria 	Eastern Europe	Europe
Myanmar 	South-Eastern Asia	Asia
Burundi 	Eastern Africa	Africa
Belarus 	Eastern Europe	Europe
Cambodia 	South-Eastern Asia	Asia
Cameroon 	Middle Africa	Africa
Canada 	Northern America	Northern America
Cape Verde 	Western Africa	Africa
Central African Republic 	Middle Africa	Africa
Sri Lanka 	South Central Asia	Asia
Chad 	Middle Africa	Africa
Chile 	South America	Latin America and the Caribbean
China 	Eastern Asia	Asia
Colombia 	South America	Latin America and the Caribbean
Comoros 	Eastern Africa	Africa
Congo, Republic of 	Middle Africa	Africa
Congo, Democratic Republic of 	Middle Africa	Africa
Costa Rica 	Central America	Latin America and the Caribbean
Croatia 	Southern Europe	Europe
Cuba 	Caribbean	Latin America and the Caribbean
Cyprus 	Southern Europe	Europe
Czechia 	Eastern Europe	Europe
Benin 	Western Africa	Africa
Denmark 	Northern Europe	Europe
Dominican Republic 	Caribbean	Latin America and the Caribbean
Ecuador 	South America	Latin America and the Caribbean
El Salvador 	Central America	Latin America and the Caribbean
Equatorial Guinea 	Middle Africa	Africa
Ethiopia 	Eastern Africa	Africa
Eritrea 	Eastern Africa	Africa
Estonia 	Northern Europe	Europe
Fiji 	Melanesia	Oceania
Finland 	Northern Europe	Europe
France (metropolitan) 	Western Europe	Europe
French Guyana 	South America	Latin America and the Caribbean
French Polynesia 	Polynesia	Oceania
Djibouti 	Eastern Africa	Africa
Gabon 	Middle Africa	Africa
Georgia 	Western Asia	Asia
The Republic of the Gambia 	Western Africa	Africa
Gaza Strip and West Bank 	Western Asia	Asia
Germany 	Western Europe	Europe
Ghana 	Western Africa	Africa
Greece 	Southern Europe	Europe
France, Guadeloupe 	Caribbean	Latin America and the Caribbean
Guam 	Micronesia	Oceania
Guatemala 	Central America	Latin America and the Caribbean
Guinea 	Western Africa	Africa
Guyana 	South America	Latin America and the Caribbean
Haiti 	Caribbean	Latin America and the Caribbean
Honduras 	Central America	Latin America and the Caribbean
Hungary 	Eastern Europe	Europe
Iceland 	Northern Europe	Europe
India 	South Central Asia	Asia
Indonesia 	South-Eastern Asia	Asia
Iran, Islamic Republic of 	South Central Asia	Asia
Iraq 	Western Asia	Asia
Ireland 	Northern Europe	Europe
Israel 	Western Asia	Asia
Italy 	Southern Europe	Europe
Côte d'Ivoire 	Western Africa	Africa
Jamaica 	Caribbean	Latin America and the Caribbean
Japan 	Eastern Asia	Asia
Kazakhstan 	South Central Asia	Asia
Jordan 	Western Asia	Asia
Kenya 	Eastern Africa	Africa
Korea, Democratic People's Republic of 	Eastern Asia	Asia
Korea, Republic of 	Eastern Asia	Asia
Kuwait 	Western Asia	Asia
Kyrgyzstan 	South Central Asia	Asia
